"name","status","package","ontology","dataset","started","finished","error"
"sandro-flight-2","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-flight-2-label-uri-fix-20260715-1157-20260715-1057","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_flight_2_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_flight_2_combined_eval_dataset.json","2026-07-15T13:57:18","2026-07-15T14:03:43",""
"sandro-museum-visit","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-museum-visit-label-uri-fix-20260715-1157-20260715-1103","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_museum_visit_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_museum_visit_combined_eval_dataset.json","2026-07-15T14:03:43","2026-07-15T14:06:18",""
"sandro-network-1","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-network-1-label-uri-fix-20260715-1157-20260715-1106","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_network_1_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_network_1_combined_eval_dataset.json","2026-07-15T14:06:18","2026-07-15T14:13:00",""
"sandro-pets-1","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-pets-1-label-uri-fix-20260715-1157-20260715-1113","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_pets_1_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_pets_1_combined_eval_dataset.json","2026-07-15T14:13:00","2026-07-15T14:19:02",""
"sandro-poker-player","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-poker-player-label-uri-fix-20260715-1157-20260715-1119","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_poker_player_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_poker_player_combined_eval_dataset.json","2026-07-15T14:19:02","2026-07-15T14:23:11",""
"sandro-real-estate-properties","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-real-estate-properties-label-uri-fix-20260715-1157-20260715-1123","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_real_estate_properties_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_real_estate_properties_combined_eval_dataset.json","2026-07-15T14:23:11","2026-07-15T14:24:13",""
"sandro-singer","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-singer-label-uri-fix-20260715-1157-20260715-1124","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_singer_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_singer_combined_eval_dataset.json","2026-07-15T14:24:13","2026-07-15T14:27:38",""
"sandro-student-transcripts-tracking","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-student-transcripts-tracking-label-uri-fix-20260715-1157-20260715-1127","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_student_transcripts_tracking_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_student_transcripts_tracking_combined_eval_dataset.json","2026-07-15T14:27:38","2026-07-15T14:39:52",""
"sandro-tvshow","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-tvshow-label-uri-fix-20260715-1157-20260715-1140","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_tvshow_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_tvshow_combined_eval_dataset.json","2026-07-15T14:39:52","2026-07-15T14:46:25",""
"sandro-voter-1","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-voter-1-label-uri-fix-20260715-1157-20260715-1146","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_voter_1_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_voter_1_combined_eval_dataset.json","2026-07-15T14:46:25","2026-07-15T14:48:40",""
"sandro-world-1","OK","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\ontology_packages\sandro-world-1-label-uri-fix-20260715-1157-20260715-1148","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\resources\knowledge_graphs\spider4sparql_sandro\spider_world_1_combined.ttl","C:\Users\amikelis\Documents\eNOVATION\NL-to-SPARQL\evaluation\datasets\spider4sparql_sandro\spider_world_1_combined_eval_dataset.json","2026-07-15T14:48:40","2026-07-15T15:10:01",""
